Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
57,Historia de la vida del Buscón,Francisco de Quevedo,1626,3.70
58,Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,1669,3.71
59,Samson Agonistes,John Milton,1671,3.73
60,The White Devil,John Webster,1612,3.58
61,Discourse on Metaphysics,Gottfried Wilhelm Leibniz,1686,3.49
62,The Changeling,Thomas Middleton,1622,3.63
63,The New Organon,Francis Bacon,1620,3.69
63,Coriolanus,William Shakespeare,1608,3.70
65,The Narrow Road to the Deep North and Other Travel Sketches,Matsuo Bashō,1689,4.15
66,Measure for Measure,William Shakespeare,1603,3.67
67,Troilus and Cressida,William Shakespeare,1602,3.35
68,The Dog in the Manger,Lope de Vega,1618,3.77
69,Lucifer,Joost van den Vondel,1654,3.26
70,All's Well That Ends Well,William Shakespeare,1623,3.62
71,The New Atlantis,Francis Bacon,1624,3.17
72,The Country Wife,William Wycherley,1675,3.37
73,"A Mad World, My Masters",Thomas Middleton,1605,3.50
74,Cinna,Pierre Corneille,1639,3.38
75,The Revenger's Tragedy,Thomas Middleton,1606,3.66
76,Ben Jonson: Sejanus,Ben Jonson,1603,3.41
77,Bartholomew Fair,Ben Jonson,1631,3.42
78,Every Man in His Humour: Quarto Version,Ben Jonson,1600,3.08
79,The Alchemist,Ben Jonson,1612,3.58
80,El caballero de Olmedo,Lope de Vega,1620,3.53
81,"The Compleat Angler, or the Contemplative Man's Recreation",Izaak Walton,1653,3.82
82,Pericles,William Shakespeare,1606,3.40
83,Timon of Athens,William Shakespeare,1607,3.39
84,Antony and Cleopatra,William Shakespeare,1606,3.66
85,The Roaring Girl,Thomas Dekker,1611,3.45
86,Histoire comique de Francion,Charles Sorel,1623,3.35
87,Eastward Ho!,Ben Jonson,1605,3.19
88,The Conquest of New Spain,Bernal Díaz del Castillo,1632,4.07
89,The City of the Sun,Tommaso Campanella,1602,3.25
90,"The Plum in the Golden Vase or, Chin P'ing Mei: Vol. One: The Gathering",Lanling Xiaoxiao Sheng,1610,3.92
91,The Letters of a Portuguese Nun,Mariana Alcoforado,1668,3.52
92,"Of Plymouth Plantation, 1620-1647",William Bradford,1651,3.42
93,The Complete Writings of Roger Williams Volume Three: Bloudy Tenent of Persecution,Roger Williams,1644,3.89
94,A Chaste Maid in Cheapside,Thomas Middleton,1613,3.29
94,Polyeucte,Pierre Corneille,1641,3.53
96,L'Astrée,Honoré d'Urfé,1607,3.68
97,Telemachus,François Fénelon,1699,3.18
98,"The Witch of Edmonton: By William Rowley, Thomas Dekker and John Ford",William Rowley,1658,3.32
99,A Letter Concerning Toleration: Humbly Submitted,John Locke,1689,3.86
100,The Broken Heart,John  Ford,1633,3.40
1,Gulliver's Travels,Jonathan Swift,1726,3.55
2,Candide,Voltaire,1759,3.75
3,Robinson Crusoe,Daniel Defoe,1719,3.65
4,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,3.62
5,Les Liaisons Dangereuses,Pierre-Ambroise Choderlos de Laclos,1782,4.07
6,The Constitution of the United States of America,Founding Fathers,1787,4.53
7,Songs of Innocence and of Experience,William Blake,1794,4.11
8,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798,3.91
9,"The History of Tom Jones, a Foundling",Henry Fielding,1749,3.73
10,"Common Sense, The Rights of Man and Other Essential Writings",Thomas Paine,1776,4.11
11,Moll Flanders,Daniel Defoe,1721,3.48
12,The Decline and Fall of the Roman Empire,Edward Gibbon,1776,3.95
13,A Vindication of the Rights of Woman,Mary Wollstonecraft,1790,3.89
14,The Declaration of Independence and The Constitution of the United States,Founding Fathers,1776,4.44
15,The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,3.80
16,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1767,3.74
17,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729,4.04
18,Faust: First Part,Johann Wolfgang von Goethe,1808,3.93
19,The Federalist Papers,Alexander Hamilton,1787,4.02
20,The Wealth of Nations,Adam Smith,1776,3.85
21,Jacques the Fatalist,Denis Diderot,1776,3.84
22,The Castle of Otranto,Horace Walpole,1764,3.17
23,The Marriage of Heaven and Hell,William Blake,1790,4.26
24,The Monk,Matthew Gregory Lewis,1796,3.79
25,The Social Contract,Jean-Jacques Rousseau,1762,3.74
26,Evelina,Fanny Burney,1778,3.63
27,The Rape of the Lock,Alexander Pope,1717,3.57
28,Confessions,Jean-Jacques Rousseau,1768,3.61
29,The Mysteries of Udolpho,Ann Radcliffe,1794,3.37
30,Common Sense,Thomas Paine,1776,3.95
31,"Clarissa, or, the History of a Young Lady",Samuel Richardson,1748,3.33
32,Lyrical Ballads,William Wordsworth,1798,3.92
33,Rights of Man,Thomas Paine,1791,4.01
34,The Age of Reason,Thomas Paine,1794,4.12
35,Critique of Pure Reason,Immanuel Kant,1781,3.89
36,Emile or On Education,Jean-Jacques Rousseau,1762,3.61
37,An Enquiry Concerning Human Understanding,David Hume,1748,3.89
38,"Fanny Hill, or Memoirs of a Woman of Pleasure",John Cleland,1748,3.30
39,A Journal of the Plague Year,Daniel Defoe,1722,3.54
40,"Pamela; or, Virtue Rewarded",Samuel Richardson,1740,2.75
41,The Life of Samuel Johnson,James Boswell,1790,3.90
42,The Vicar of Wakefield,Oliver Goldsmith,1766,3.46
43,Die Räuber,Friedrich Schiller,1781,3.58
44,She Stoops to Conquer,Oliver Goldsmith,1773,3.65
45,Zadig,Voltaire,1747,3.76
46,A Dictionary of the English Language: an Anthology,Samuel Johnson,1755,4.16
47,Reflections on the Revolution in France,Edmund Burke,1790,3.70
48,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1795,3.74
49,Cecilia,Fanny Burney,1782,3.73
50,The Adventures of Baron Münchausen,Rudolf Erich Raspe,1785,3.87
51,Roxana,Daniel Defoe,1724,3.44
52,School for Scandal,Richard Brinsley Sheridan,1777,3.62
53,Vathek,William Beckford,1786,3.31
54,Groundwork of the Metaphysics of Morals,Immanuel Kant,1785,3.78
55,Manon Lescaut,Abbé Prévost,1731,3.50
56,A Sentimental Journey,Laurence Sterne,1768,3.35
57,Equiano's Travels: The Interesting Narrative Of The Life Of Olaudah Equiano Or Gustavus Vassa The African,Olaudah Equiano,1789,3.69
58,L'Ingénu,Voltaire,1767,3.60
59,The Beggar's Opera,John Gay,1728,3.44
60,New Science,Giambattista Vico,1725,3.96
61,The Nun,Denis Diderot,1792,3.67
62,Notes on the State of Virginia,Thomas Jefferson,1787,3.47
63,Kabale und Liebe,Friedrich Schiller,1784,3.24
64,Joseph Andrews,Henry Fielding,1742,3.28
65,Camilla,Fanny Burney,1796,3.71
66,Don Karlos: Infant von Spanien,Friedrich Schiller,1787,3.40
67,Micromegas,Voltaire,1752,3.70
68,Le jeu de l'amour et du hasard,Pierre de Marivaux,1730,3.68
69,An Elegy Written In A Country Churchyard,Thomas Gray,1751,4.02
70,"The Female Quixote: or, the Adventures of Arabella",Charlotte Lennox,1752,3.55
71,Prolegomena to Any Future Metaphysics,Immanuel Kant,1783,3.87
72,Encyclopedie 1,Denis Diderot,1772,4.15
73,The Italian,Ann Radcliffe,1797,3.50
74,The Dream of the Red Chamber,Cao Xueqin,1754,4.04
75,The Rivals,Richard Brinsley Sheridan,1775,3.67
75,"The History of Rasselas, Prince of Abissinia",Samuel Johnson,1759,3.43
77,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,1787,3.80
78,The Servant of Two Masters,Carlo Goldoni,1745,3.83
79,Sinners in the Hands of an Angry God,Jonathan Edwards,1741,3.68
80,A Journey to the Western Islands of  Scotland and The Journal of a Tour to the Hebrides,Samuel Johnson,1775,3.52
81,An Essay on Criticism,Alexander Pope,1711,3.75
81,A Treatise of Human Nature,David Hume,1740,3.90
83,Principles of Human Knowledge & Three Dialogues Between Hylas and Philonous,George Berkeley,1713,3.82
84,Four Comedies,Carlo Goldoni,1750,3.92
85,The Theory of Moral Sentiments,Adam Smith,2006,4.01
86,The Expedition of Humphry Clinker,Tobias Smollett,1771,3.42
87,An Apology for the Life of Mrs. Shamela Andrews,Henry Fielding,1741,3.33
88,The Spirit of the Laws,Montesquieu,1748,3.93
89,The Adventures of Roderick Random,Tobias Smollett,1748,3.47
90,"The Mutiny on Board H.M.S. Bounty: The Captain's Account of the Mutiny and His 3,600 Mile Voyage in an Open Boat",William Bligh,1790,3.87
91,Maria Stuart,Friedrich Schiller,1800,3.46
92,The Golden Days,Cao Xueqin,1760,4.23
93,Mary & The Wrongs of Woman,Mary Wollstonecraft,1976,3.41
94,Het Wederzyds Huwelyks Bedrog : blijspel,Pieter Langendijk,1712,2.75
95,Rameau's Nephew / D'Alembert's Dream,Denis Diderot,1769,3.60
96,The Beaux' Stratagem,George Farquhar,1707,3.42
97,The Romance of the Forest,Ann Radcliffe,1791,3.46
98,Matthew Henry's Commentary on the Whole Bible: Complete and Unabridged in One Volume,Matthew Henry,1710,4.33
99,Reveries of the Solitary Walker,Jean-Jacques Rousseau,1782,3.67
100,The Lives of the Poets: Boxed Set,Samuel Johnson,1781,4.07
1,Pride and Prejudice,Jane Austen,1813,4.24
2,Jane Eyre,Charlotte Brontë,1847,4.09
3,Wuthering Heights,Emily Brontë,1847,3.80
4,The Picture of Dorian Gray,Oscar Wilde,1890,4.04
